"","leg_party","leg_republican","leg_black","leg_latino","reply_atall","treat_deshawn","treat_demprimary","treat_repprimary","treat_noprimary","treat_group","treat_jake","leg_notwhite","leg_white","leg_notblackotherminority","treat_primary"
"1202","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1203","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1204","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1205","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1206","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1207","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1208","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1209","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1210","D",0,0,1,0,1,0,0,1,6,0,1,0,1,0
"1211","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1212","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1213","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1214","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1215","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1216","D",0,1,0,0,0,0,0,1,0,1,1,0,0,0
"1217","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1218","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1219","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1220","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1221","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1222","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1223","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1224","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1225","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1226","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1227","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1228","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1229","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1230","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1231","D",0,0,1,0,1,0,0,1,6,0,1,0,1,0
"1232","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"1233","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1234","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1235","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1236","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1237","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1238","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1239","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1240","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1241","R",1,0,1,0,0,1,0,0,5,1,1,0,1,1
"1242","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1243","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1244","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1245","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1246","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1247","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1248","D",0,0,1,0,1,0,1,0,2,0,1,0,1,1
"1249","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1250","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1251","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1252","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1253","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"1254","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1255","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1256","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1257","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1258","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1259","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1260","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1261","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1262","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1263","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1264","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1265","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1266","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1267","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1268","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1269","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1270","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1271","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1272","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1273","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1274","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1275","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1276","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1277","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1278","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1279","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1280","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1281","D",0,1,0,0,1,1,0,0,4,0,1,0,0,1
"1282","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1283","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1284","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1285","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1286","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1287","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1288","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1289","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1290","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1291","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1292","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1293","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1294","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1295","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1296","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1297","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1298","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1299","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1300","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1301","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1302","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1303","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1304","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1305","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1306","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1307","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1308","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1309","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1310","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1311","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1312","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1313","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1314","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1315","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1316","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1317","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1318","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1319","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1320","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1321","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1322","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1323","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1324","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1325","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1326","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1327","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1328","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1329","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1330","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1331","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1332","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1333","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1334","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1335","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1336","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1337","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1338","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1339","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1340","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1341","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1342","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1343","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1344","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1345","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1346","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1347","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1348","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1349","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1350","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1351","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1352","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1353","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1354","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1355","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1356","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1357","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1358","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1359","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1360","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1361","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1362","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1363","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1364","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1365","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1366","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1367","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1368","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1369","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1370","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1371","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1372","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1373","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1374","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1375","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1376","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1377","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1378","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1379","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1380","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1381","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1382","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1383","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1384","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1385","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1386","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1387","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1388","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1389","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1390","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1391","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1392","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1393","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1394","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1395","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1396","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1397","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1398","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1399","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1400","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1401","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1402","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1403","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1404","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1405","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1406","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1407","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1408","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1409","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1410","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1411","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1412","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1413","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1414","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1415","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1416","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1417","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1418","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1419","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1420","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1421","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1422","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1423","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1424","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1425","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1426","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1427","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1428","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1429","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1430","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1431","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1432","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1433","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1434","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1435","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1436","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1437","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1438","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1439","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1440","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1441","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1442","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1443","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1444","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1445","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1446","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1447","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1448","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1449","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"1450","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1451","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1452","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1453","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1454","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1455","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1456","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1457","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1458","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1459","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1460","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1461","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1462","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1463","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1464","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1465","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1466","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1467","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1468","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1469","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1470","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1471","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1472","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1473","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1474","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1475","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1476","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1477","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1478","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1479","D",0,1,0,0,0,0,0,1,0,1,1,0,0,0
"1480","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1481","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1482","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1483","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1484","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1485","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1486","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1487","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1488","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1489","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1490","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1491","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1492","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"1493","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1494","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1495","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1496","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1497","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1498","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1499","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1500","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1501","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1502","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"1503","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1504","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1505","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1506","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1507","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1508","D",0,1,0,1,0,0,0,1,0,1,1,0,0,0
"1509","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"1510","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1511","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1512","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1513","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1514","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1515","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1516","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"1517","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1518","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1519","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1520","R",1,0,0,0,0,1,0,0,5,1,0,1,0,1
"1521","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1522","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1523","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1524","D",0,1,0,0,1,0,1,0,2,0,1,0,0,1
"1525","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1526","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1527","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1528","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1529","R",1,0,0,1,0,0,1,0,3,1,0,1,0,1
"1530","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1531","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1532","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1533","D",0,1,0,0,1,0,0,1,6,0,1,0,0,0
"1534","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1535","D",0,0,0,0,0,0,0,1,0,1,0,1,0,0
"1536","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1537","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1538","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1539","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1540","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1541","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1542","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1543","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1544","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1545","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1546","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1547","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1548","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1549","R",1,0,0,0,1,0,1,0,2,0,0,1,0,1
"1550","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"1551","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1552","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1553","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1554","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1555","R",1,0,0,0,0,0,1,0,3,1,0,1,0,1
"1556","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1557","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1558","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1559","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1560","R",1,0,0,0,1,0,0,1,6,0,0,1,0,0
"1561","R",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"1562","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1563","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1564","R",1,0,0,0,1,1,0,0,4,0,0,1,0,1
"1565","D",0,1,0,0,0,0,1,0,3,1,1,0,0,1
"1566","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1567","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1568","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1569","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1570","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1571","D",0,1,0,0,0,1,0,0,5,1,1,0,0,1
"1572","D",0,0,0,1,1,0,0,1,6,0,0,1,0,0
"1573","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1574","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1575","R",1,0,0,1,1,0,1,0,2,0,0,1,0,1
"1576","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1577","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1578","D",0,0,0,1,1,0,1,0,2,0,0,1,0,1
"1579","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1580","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1581","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1582","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1583","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1584","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1585","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1586","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1587","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1588","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1589","R",1,0,0,1,0,0,0,1,0,1,0,1,0,0
"1590","D",0,0,0,0,0,1,0,0,5,1,0,1,0,1
"1591","R",1,0,0,1,1,1,0,0,4,0,0,1,0,1
"1592","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1593","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1594","D",0,0,0,0,1,0,0,1,6,0,0,1,0,0
"1595","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1596","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1597","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1598","D",0,0,0,0,1,0,1,0,2,0,0,1,0,1
"1599","D",0,0,0,1,0,0,1,0,3,1,0,1,0,1
"1600","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1601","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1602","R",1,0,0,1,1,0,0,1,6,0,0,1,0,0
"1603","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
"1604","R",1,0,0,1,0,1,0,0,5,1,0,1,0,1
"1605","D",0,0,0,0,0,0,1,0,3,1,0,1,0,1
"1606","D",0,0,0,1,1,1,0,0,4,0,0,1,0,1
"1607","D",0,0,0,0,1,1,0,0,4,0,0,1,0,1
"1608","D",0,0,0,1,0,0,0,1,0,1,0,1,0,0
"1609","D",0,0,0,1,0,1,0,0,5,1,0,1,0,1
